Rank,Name,Revenues ($M),Revenue Percent Change,Profits ($M),Profits Percent Change,Assets ($M),Employees
247,State Street Corp.,12973.0,10.2,2599.0,19.4,244626.0,40142
248,Viacom,12943.0,-2.4,1719.0,-8.3,23783.0,10880
249,Ameriprise Financial,12924.0,7.0,2098.0,41.8,137216.0,14062
250,Core-Mark Holding,12903.9,5.6,45.5,35.8,1666.1,8087
251,Reinsurance Group of America,12875.7,2.9,715.8,-60.7,64535.2,2767
252,VF,12862.3,3.7,658.6,7.1,10311.3,69000
253,Discover Financial Services,12848.0,11.3,2742.0,30.6,109553.0,16600
254,Global Partners,12672.6,42.1,103.9,76.9,2424.3,2500
255,Edison International,12657.0,2.7,-423.0,-174.9,56715.0,12574
256,Oneok,12593.2,3.4,1151.7,197.0,18231.7,2684
257,Murphy USA,12524.0,15.4,213.6,-12.9,2360.8,6800
258,Bed Bath & Beyond,12349.3,1.1,424.9,-38.0,7040.8,65000
259,Consolidated Edison,12337.0,2.5,1382.0,-9.4,53920.0,15307
260,CSX,12250.0,7.4,3309.0,-39.5,36729.0,22475
261,J.C. Penney,12019.0,-3.9,-255.0,-,7721.0,95000
262,LKQ,11876.7,20.6,480.1,-10.0,11393.4,51000
263,FirstEnergy,11864.0,-12.9,1348.0,-,40063.0,12494
264,Steel Dynamics,11821.8,23.9,1258.4,54.8,7703.6,8200
265,Lithia Motors,11821.4,17.2,265.7,8.4,5384.0,13643
266,MGM Resorts International,11763.1,9.2,466.8,-76.2,30210.7,74500
267,Tenneco,11763.0,26.8,55.0,-73.4,13232.0,81000
268,Nvidia,11716.0,20.6,4141.0,35.9,13292.0,13277
269,Sempra Energy,11687.0,4.3,1049.0,309.8,60638.0,16823
270,Farmers Insurance Exchange,11650.4,-3.5,-70.5,-,17016.3,12740
271,Ball,11635.0,5.9,454.0,21.4,16554.0,17500
272,Group 1 Automotive,11601.4,4.3,157.8,-26.1,5001.1,14570
273,Unum Group,11598.5,2.8,523.4,-47.4,61875.6,9600
274,Xcel Energy,11537.0,1.2,1261.0,9.8,45987.0,11068
275,Reliance Steel & Aluminum,11534.5,18.7,633.7,3.3,8044.9,15600
276,Huntsman,11527.0,8.8,337.0,-47.0,7953.0,10000
277,Norfolk Southern,11458.0,8.6,2666.0,-50.7,36239.0,26662
278,Laboratory Corp. of America,11333.4,8.5,883.7,-30.3,16185.3,61000
279,Corning,11290.0,11.6,1066.0,-,27505.0,51500
280,Expedia Group,11223.0,11.6,406.0,7.4,18033.0,24500
281,AutoZone,11221.1,3.1,1337.5,4.4,9347.0,72450
282,W.W. Grainger,11221.0,7.6,782.0,33.5,5873.0,23850
283,Quanta Services,11171.4,18.0,293.3,-6.9,7075.8,39200
284,Crown Holdings,11151.0,28.2,439.0,35.9,15262.0,33429
285,Office Depot,11130.0,3.5,104.0,-42.5,6166.0,44000
286,Baxter International,11127.0,5.4,1624.0,126.5,15641.0,50000
287,Lam Research,11077.0,38.2,2380.7,40.2,12479.5,10900
288,Entergy,11009.5,-0.6,848.7,106.2,48275.1,13688
289,Charles Schwab,10989.0,22.6,3507.0,49.0,296482.0,19500
290,L3 Technologies,10841.0,-1.5,1005.0,48.4,13518.0,31000
291,NRG Energy,10797.0,-4.2,268.0,-,10628.0,4862
292,Live Nation Entertainment,10787.8,4.4,60.2,-,8496.9,16000
293,Universal Health Services,10772.3,-4.5,779.7,3.6,11265.5,75650
294,Molson Coors Brewing,10769.6,-2.1,1116.5,-28.7,30109.8,17750
295,eBay,10746.0,12.3,2530.0,-,22819.0,14000
296,AES,10736.0,-22.5,1203.0,-,32521.0,9000
297,Devon Energy,10734.0,-23.0,3064.0,241.2,19566.0,2880
298,Pacific Life,10699.0,12.5,913.0,-33.1,157699.0,3776
299,CenterPoint Energy,10589.0,10.1,368.0,-79.5,27009.0,7977
300,Discovery,10553.0,53.5,594.0,-,32550.0,9000
301,BorgWarner,10529.6,7.5,930.7,111.6,10095.3,30000
302,Targa Resources,10484.0,18.9,1.6,-97.0,16938.2,2460
303,Ally Financial,10466.0,6.1,1263.0,36.0,178869.0,8200
304,SunTrust Banks,10431.0,7.1,2775.0,22.1,215543.0,22899
305,IQVIA Holdings,10412.0,6.9,259.0,-80.2,22549.0,58000
306,American Family Insurance Group,10336.2,8.3,295.3,89.7,27502.5,11975
307,Delek US Holdings,10265.6,39.7,340.1,17.8,5760.6,3717
308,Navistar International,10250.0,19.6,340.0,1033.3,7230.0,13100
309,Chesapeake Energy,10231.0,7.7,873.0,-8.0,10947.0,2350
310,United Natural Foods,10226.7,10.3,165.7,27.3,2964.5,10000
311,Leidos Holdings,10194.0,0.2,581.0,58.7,8770.0,32000
312,PulteGroup,10188.3,18.8,1022.0,128.5,10173.0,5086
313,Eastman Chemical,10151.0,6.3,1080.0,-22.0,15995.0,14595
314,Republic Services,10040.9,-0.0,1036.9,-18.9,21617.0,36000
315,Mohawk Industries,9983.6,5.2,861.7,-11.3,13099.1,42100
316,Sonic Automotive,9951.6,0.9,51.7,-44.5,3796.8,9700
317,Owens & Minor,9838.7,5.6,-437.0,-700.3,3773.8,17900
318,Xerox,9830.0,-4.2,361.0,85.1,14874.0,32400
319,Boston Scientific,9823.0,8.6,1671.0,1506.7,20999.0,32000
320,DCP Midstream,9822.0,16.1,298.0,30.1,14266.0,2650
321,Autoliv,9801.1,-5.6,190.4,-55.4,6721.6,62091
322,Interpublic Group,9714.4,23.2,618.9,6.9,15620.3,54000
323,Public Service Enterprise Group,9696.0,6.7,1438.0,-8.6,45326.0,13145
324,PVH,9656.8,8.3,746.4,38.8,11863.7,29350
325,Mosaic,9587.3,29.4,470.0,-,20119.2,13600
326,Advance Auto Parts,9580.6,2.2,423.8,-10.9,9040.6,55500
327,Altice USA,9566.6,2.6,18.8,-98.8,33613.8,11993
328,Hormel Foods,9545.7,4.1,1012.1,19.5,8142.3,20100
329,O'Reilly Automotive,9536.4,6.2,1324.5,16.8,7980.8,64325
330,Calpine,9512.0,8.7,10.0,-,16062.0,2282
331,Hertz Global Holdings,9504.0,8.0,-225.0,-168.8,21382.0,38000
332,First Data,9498.0,-21.2,1005.0,-31.4,38327.0,19000
333,Pioneer Natural Resources,9415.0,72.6,978.0,17.4,17903.0,3177
334,Coty,9398.0,22.8,-168.8,-,22630.2,20000
335,AGCO,9352.0,12.6,285.5,53.2,7626.4,21200
336,Mutual of Omaha Insurance,9347.2,7.0,277.3,-67.9,43913.4,6314
337,Vistra Energy,9144.0,68.4,-54.0,-,26024.0,5275
338,Avis Budget Group,9124.0,3.1,165.0,-54.3,19149.0,25600
339,Adobe,9030.0,23.7,2590.8,52.9,18768.7,21357
340,Peter Kiewit Sons',9025.0,4.0,468.0,26.1,4760.0,20000
341,News Corp.,9024.0,10.9,-1514.0,-,16346.0,28000
342,Brighthouse Financial,8965.0,-,865.0,-,206294.0,1260
343,Voya Financial,8934.0,-7.5,875.0,-,154682.0,6000
344,Air Products & Chemicals,8930.2,5.8,1497.8,-50.1,19178.3,16150
345,Hilton Worldwide Holdings,8906.0,-2.6,764.0,-39.3,13995.0,169000
346,GameStop,8850.7,-4.1,-673.0,-2039.5,4044.3,33000
347,Veritiv,8696.2,4.0,-15.7,-,2529.7,8700
348,Williams,8686.0,8.2,-155.0,-107.1,45302.0,5322
349,Campbell Soup,8685.0,10.1,261.0,-70.6,14529.0,23000
350,Rockwell Collins,8665.0,27.0,1032.0,46.4,19026.0,31200
351,Thrivent Financial for Lutherans,8635.2,1.3,1233.9,121.0,94482.9,3708
352,Westlake Chemical,8635.0,7.4,996.0,-23.6,11602.0,8870
353,Univar,8632.5,4.6,172.3,43.8,5272.4,8500
354,J.B. Hunt Transport Services,8614.9,19.8,489.6,-28.7,5091.6,27621
355,Frontier Communications,8611.0,-5.7,-643.0,-,23659.0,21173
356,Jones Financial (Edward Jones),8594.0,13.1,990.0,13.5,15815.0,47000
357,National Oilwell Varco,8453.0,15.7,-31.0,-,19796.0,34642
358,Eversource Energy,8448.2,9.0,1033.0,4.6,38241.3,7998
359,Dick's Sporting Goods,8436.6,-1.8,319.9,-1.1,4187.1,27950
360,Genworth Financial,8430.0,1.6,119.0,-85.4,100923.0,3500
361,Fidelity National Information Services,8423.0,-7.7,846.0,-35.9,23770.0,47000
362,Yum China Holdings,8415.0,17.8,708.0,75.7,4610.0,450000
363,Ryder System,8409.2,14.7,273.3,-65.4,13051.1,39600
364,Anixter International,8400.2,6.0,156.3,43.4,4653.1,9300
365,Caesars Entertainment,8391.0,72.9,303.0,-,25775.0,66000
366,Masco,8359.0,9.4,734.0,37.7,5393.0,26000
367,Thor Industries,8328.9,14.9,430.2,14.9,2778.7,17500
368,Alaska Air Group,8264.0,4.2,437.0,-57.7,10912.0,23376
369,Amphenol,8202.0,17.0,1205.0,85.2,10044.9,73600
370,WESCO International,8176.6,6.5,227.3,39.1,4605.0,9100
371,Huntington Ingalls Industries,8176.0,9.9,836.0,74.5,6383.0,40000
372,Jefferies Financial Group,8151.8,-34.3,1026.8,497.9,47131.1,4700
373,Dana,8143.0,13.0,427.0,284.7,5918.0,30900
374,Expeditors Intl. of Washington,8138.4,17.6,618.2,26.3,3314.6,17400
375,EMCOR Group,8130.6,5.8,283.5,24.8,4088.8,33000
376,Darden Restaurants,8080.1,12.7,596.0,24.4,5469.6,180656
377,SpartanNash,8064.6,-0.8,33.6,-,1971.9,11400
378,Assurant,8057.6,25.6,251.0,-51.7,41089.3,14250
379,United Rentals,8047.0,21.2,1096.0,-18.6,18133.0,18500
380,Liberty Media,8040.0,5.9,531.0,-60.8,40828.0,4641
381,Erie Insurance Group,8030.7,6.6,686.3,-20.0,21178.2,5547
382,Auto-Owners Insurance,7999.3,5.2,754.5,16.8,24476.4,5517
383,Cheniere Energy,7987.0,42.6,471.0,-,31987.0,1372
384,Fifth Third Bancorp,7973.0,3.4,2193.0,-0.0,146069.0,17437
385,Foot Locker,7939.0,2.0,541.0,90.5,3820.0,32401
386,Conagra Brands,7938.3,-14.0,808.4,26.5,10389.5,12400
387,Zimmer Biomet Holdings,7932.9,1.4,-379.2,-120.9,24126.8,19800
388,Tractor Supply,7911.0,9.0,532.4,26.0,3085.3,22000
389,Berry Global Group,7869.0,10.9,496.0,45.9,9131.0,24000
